,Delta,Imbalance,midprice,Timestamp
70,-1.663983199576403,-1980.5164158418775,38881500.0,2022-05-20 14:17:06
71,-1.1203957661382287,-1226.5431065261364,38880000.0,2022-05-20 14:17:07
72,0.8480565439392813,-5276.24011195451,38883500.0,2022-05-20 14:17:08
73,0.32175921791968726,-5276.24011195451,38883500.0,2022-05-20 14:17:09
74,0.11326833149300856,-2060.983808070421,38877000.0,2022-05-20 14:17:10
75,0.04329983718496406,-2060.983808070421,38877000.0,2022-05-20 14:17:11
76,-0.5223069630468633,-780.3188207224011,38868500.0,2022-05-20 14:17:12
77,-1.9762796269593381,-590.0431703180075,38859500.0,2022-05-20 14:17:13
78,0.010046243130894972,-278.04215174913406,38847500.0,2022-05-20 14:17:14
79,-0.5371062857443165,-1862.1335751339793,38844500.0,2022-05-20 14:17:15
